"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"0.1µF1,1μF1,10μF1,10μF2,22uF1,100nF1,100nF2,100nF4,100nF6,100nF7,100nF8,100nF9,100nF10","13","C","","","","Capacitor_SMD:C_0805_2012Metric",""
"33µH1","1","L","","","","Inductor_SMD:L_Bourns_SRR1260",""
"220uF1","1","C_Polarized","","","","Capacitor_SMD:CP_Elec_6.3x7.7",""
"470µF/50V1","1","C_Polarized","","","","Capacitor_SMD:CP_Elec_10x10.5",""
"D1","1","SS36","","","","Diode_SMD:D_SMC","https://www.vishay.com/docs/88751/ss32.pdf"
"D2","1","BZV55B3V3","","","","Diode_SMD:D_MiniMELF","https://assets.nexperia.com/documents/data-sheet/BZV55_SER.pdf"
"DiffrPressureTransmitter1,TDS1","2","Conn_01x04","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",""
"F1","1","Fuse","","","","Fuse:Fuse_0805_2012Metric",""
"I.L.T1,I.L.T2,power1,VFD1","4","Conn_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",""
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J3","1","Micro_SD_Card","","","","Connector_Card:microSD_HC_Hirose_DM3D-SF","https://www.we-online.com/components/products/datasheet/693072010801.pdf"
"R1","1","10k1","","","","Resistor_SMD:R_0805_2012Metric",""
"R2,R9","2","10k","","","","Resistor_SMD:R_0805_2012Metric",""
"R3,R5,R11","3","120Ω","","","","Resistor_SMD:R_0805_2012Metric",""
"R4","1","1Ω","","","","Resistor_SMD:R_0805_2012Metric",""
"R6","1","150Ω","","","","Resistor_SMD:R_0805_2012Metric",""
"R7","1","1k","","","","Resistor_SMD:R_0805_2012Metric",""
"R8","1","1K","","","","Resistor_SMD:R_0805_2012Metric",""
"R10","1","2.2k","","","","Resistor_SMD:R_0805_2012Metric",""
"R12,R13","2","5.1kΩ","","","","Resistor_SMD:R_0805_2012Metric",""
"R14,R15","2","22Ω","","","","Resistor_SMD:R_0805_2012Metric",""
"R22,R23,R29,R30","4","10kΩ","","","","Resistor_SMD:R_0805_2012Metric",""
"SMBJ28A1","1","PTVS5V0Z1USK","","","","Diode_SMD:D_SMB","https://assets.nexperia.com/documents/data-sheet/PTVS5V0Z1USK.pdf"
"SS1","1","D","","","","Diode_SMD:D_SMA",""
"U1","1","ESP32-S3-WROOM-1U","","","","ESP32-S3-WROOM-1U:XCVR_ESP32-S3-WROOM-1U",""
"U2","1","PC817","","","","Package_DIP:SMDIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"U3","1","LM2596S-5","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
"U4","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U6,U7,U8","3","MAX3485","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX3483-MAX3491.pdf"
