the date,the time,TDS,Flow,Pressure
3/26/2026, 9:55:10 AM,425,12,2
3/26/2026, 9:55:15 AM,461,12,2
3/26/2026, 9:55:15 AM,461,12,2
3/26/2026, 9:55:15 AM,461,12,2
3/26/2026, 9:55:20 AM,423,12,2
3/26/2026, 9:55:20 AM,423,0.05,2
3/26/2026, 9:55:20 AM,423,0.05,0.2
3/26/2026, 9:55:25 AM,433,0.05,0.2
3/26/2026, 9:55:25 AM,433,13,0.2
3/26/2026, 9:55:25 AM,433,13,2
3/26/2026, 9:55:30 AM,1600,13,2
3/26/2026, 9:55:30 AM,1600,14,2
3/26/2026, 9:55:30 AM,1600,14,2
3/26/2026, 9:55:35 AM,468,14,2
3/26/2026, 9:55:35 AM,468,10,2
3/26/2026, 9:55:35 AM,468,10,2
3/26/2026, 9:55:40 AM,433,10,2
3/26/2026, 9:55:40 AM,433,14,2
3/26/2026, 9:55:40 AM,433,14,3
3/26/2026, 9:55:45 AM,400,14,3
3/26/2026, 9:55:45 AM,400,11,3
3/26/2026, 9:55:45 AM,400,11,3
3/26/2026, 9:55:50 AM,420,11,3
3/26/2026, 9:55:50 AM,420,10,3
3/26/2026, 9:55:50 AM,420,10,3
3/26/2026, 9:55:55 AM,1600,10,3
3/26/2026, 9:55:55 AM,1600,10,3
3/26/2026, 9:55:55 AM,1600,10,2
3/26/2026, 9:56:00 AM,443,10,2
3/26/2026, 9:56:00 AM,443,0.05,2
3/26/2026, 9:56:00 AM,443,0.05,0.2
3/26/2026, 9:56:05 AM,450,0.05,0.2
3/26/2026, 9:56:05 AM,450,12,0.2
3/26/2026, 9:56:05 AM,450,12,3
3/26/2026, 9:56:10 AM,412,12,3
3/26/2026, 9:56:10 AM,412,10,3
3/26/2026, 9:56:10 AM,412,10,3
3/26/2026, 9:56:15 AM,499,10,3
3/26/2026, 9:56:15 AM,499,13,3
3/26/2026, 9:56:15 AM,499,13,3
3/26/2026, 9:56:20 AM,1600,13,3
3/26/2026, 9:56:20 AM,1600,10,3
3/26/2026, 9:56:20 AM,1600,10,3
3/26/2026, 9:56:25 AM,459,10,3
3/26/2026, 9:56:30 AM,449,10,3
3/26/2026, 9:56:30 AM,449,10,3
3/26/2026, 9:56:30 AM,449,10,2
3/26/2026, 9:56:35 AM,467,10,2
3/26/2026, 9:56:35 AM,467,11,2
3/26/2026, 9:56:35 AM,467,11,2
3/26/2026, 9:56:40 AM,406,11,2
3/26/2026, 9:56:40 AM,406,0.05,2
3/26/2026, 9:56:40 AM,406,0.05,0.2
3/26/2026, 9:56:45 AM,1600,0.05,0.2
3/26/2026, 9:56:45 AM,1600,13,0.2
3/26/2026, 9:56:45 AM,1600,13,2
3/26/2026, 9:56:50 AM,402,13,2
3/26/2026, 9:56:50 AM,402,14,2
3/26/2026, 9:56:50 AM,402,14,3
3/26/2026, 9:56:55 AM,487,14,3
3/26/2026, 9:56:55 AM,487,12,3
3/26/2026, 9:56:55 AM,487,12,2
3/26/2026, 9:57:00 AM,469,12,2
3/26/2026, 9:57:00 AM,469,12,2
3/26/2026, 9:57:00 AM,469,12,3
3/26/2026, 9:57:05 AM,491,12,3
3/26/2026, 9:57:05 AM,491,12,3
3/26/2026, 9:57:05 AM,491,12,3
3/26/2026, 9:57:10 AM,1600,12,3
3/26/2026, 9:57:10 AM,1600,11,3
3/26/2026, 9:57:10 AM,1600,11,2
3/26/2026, 9:57:15 AM,448,11,2
3/26/2026, 9:57:15 AM,448,13,2
3/26/2026, 9:57:15 AM,448,13,3
3/26/2026, 9:57:20 AM,480,13,3
3/26/2026, 9:57:20 AM,480,0.05,3
3/26/2026, 9:57:20 AM,480,0.05,0.2
3/26/2026, 9:57:25 AM,403,0.05,0.2
3/26/2026, 9:57:25 AM,403,12,0.2
3/26/2026, 9:57:25 AM,403,12,2
3/26/2026, 9:57:30 AM,470,12,2
3/26/2026, 9:57:30 AM,470,10,2
3/26/2026, 9:57:30 AM,470,10,3
3/26/2026, 9:57:35 AM,1600,10,3
3/26/2026, 9:57:35 AM,1600,11,3
3/26/2026, 9:57:35 AM,1600,11,3
3/26/2026, 9:57:40 AM,462,11,3
3/26/2026, 9:57:40 AM,462,10,3
3/26/2026, 9:57:40 AM,462,10,2
3/26/2026, 9:57:45 AM,481,10,2
